record_id,ref_ids,source_key,source_title,source_type,evidence_basket,domain,attack_vector,control_or_topic,geography,time_period,study_type,metric_name,metric_value,metric_unit,denominator,extracted_result,limitations,comparable_group,include_in_grouped_synthesis,evidence_confidence_1_to_5,primary_url,human_review_status
SPSEC50-011,3,FinCEN2024Identity,FinCEN Issues Analysis of Identity-Related Suspicious Activity,government,regulatory,identity-related suspicious activity,identity exploitation,BSA reporting,US,2021,reporting/telemetry,share of BSA reports identity-related,42,percent,BSA reports filed in CY2021,Identity-related BSA reports represented 42% of filings.,Based on FinCEN identity-related analysis.,financial_suspicious_activity,True,5,https://www.fincen.gov/news/news-releases/fincen-issues-analysis-identity-related-suspicious-activity,reviewed
SPSEC50-012,3,FinCEN2024Identity,FinCEN Issues Analysis of Identity-Related Suspicious Activity,government,regulatory,identity-related suspicious activity,identity exploitation,BSA reporting,US,2021,reporting/telemetry,suspicious activity amount,212,USD billions,identity-related BSA reports,FinCEN found about $212B in identity-related suspicious activity.,Suspicious activity amount is not confirmed loss.,public_loss_benchmark,False,5,https://www.fincen.gov/news/news-releases/fincen-issues-analysis-identity-related-suspicious-activity,reviewed
SPSEC50-013,3,FinCEN2024Identity,FinCEN Issues Analysis of Identity-Related Suspicious Activity,government,regulatory,identity-related suspicious activity,fraud/false records/identity theft,BSA reporting,US,2021,reporting/telemetry,top five typology report share,88,percent,identity-related BSA reports,Top five typologies accounted for 88% of identity-related BSA reports.,Typologies can overlap.,typology_share,True,5,https://www.fincen.gov/news/news-releases/fincen-issues-analysis-identity-related-suspicious-activity,reviewed
SPSEC50-014,3,FinCEN2024Identity,FinCEN Issues Analysis of Identity-Related Suspicious Activity,government,regulatory,identity-related suspicious activity,fraud/false records/identity theft,BSA reporting,US,2021,reporting/telemetry,top five typology suspicious amount share,74,percent,identity-related suspicious activity amount,Top five typologies accounted for 74% of suspicious activity amount.,Suspicious amount is not confirmed loss.,typology_share,True,5,https://www.fincen.gov/news/news-releases/fincen-issues-analysis-identity-related-suspicious-activity,reviewed
SPSEC50-015,4,FedToolkitSynthetic,Synthetic Identity Fraud Mitigation Toolkit,government,government,synthetic identity fraud,synthetic identity,toolkit,US,2020,reporting/telemetry,estimated synthetic identity losses,20,USD billions,US financial institutions estimate,Federal Reserve toolkit cites estimated $20B in losses for U.S. financial institutions in 2020.,Estimate may be from external banking-industry source and often misclassified as credit loss.,synthetic_loss_benchmark,True,4,https://fedpaymentsimprovement.org/resources/synthetic-identity-fraud-mitigation-toolkit/,reviewed
SPSEC50-016,4,FedToolkitSynthetic,Synthetic Identity Fraud Mitigation Toolkit,government,government,synthetic identity fraud,synthetic identity,toolkit,US,2020,reporting/telemetry,misclassification flag,1,boolean,qualitative toolkit finding,Federal Reserve notes synthetic identity fraud is often miscategorized as credit loss.,"Qualitative flag, not a numeric loss estimate.",classification_failure,False,4,https://fedpaymentsimprovement.org/resources/synthetic-identity-fraud-mitigation-toolkit/,reviewed
SPSEC50-017,4,FedToolkitSynthetic,Synthetic Identity Fraud Mitigation Toolkit,government,government,synthetic identity fraud,synthetic identity,toolkit,US,2024,reporting/telemetry,traditional model failure flag,1,boolean,qualitative toolkit finding,Federal Reserve notes many traditional fraud models are not built around the premise that the person is not real.,Qualitative source.,classification_failure,False,4,https://fedpaymentsimprovement.org/resources/synthetic-identity-fraud-mitigation-toolkit/,reviewed
SPSEC50-018,6,NIST80063B4,SP 800-63B-4 Authentication and Authenticator Management,standards,standards,authentication assurance,credential phishing,authentication,US federal guidance,2025,reporting/telemetry,AAL2 phishing resistant option required,1,boolean,AAL2 applications,NIST SP 800-63B-4 says AAL2 applications must offer a phishing-resistant authentication option.,Federal guidance; private-sector adoption varies.,auth_control_requirements,False,5,https://pages.nist.gov/800-63-4/sp800-63b.html,reviewed
SPSEC50-019,6,NIST80063B4,SP 800-63B-4 Authentication and Authenticator Management,standards,standards,authentication assurance,credential phishing,authentication,US federal guidance,2025,reporting/telemetry,AAL3 phishing resistant authenticator required,1,boolean,AAL3 applications,NIST SP 800-63B-4 requires a phishing-resistant authenticator at AAL3.,Federal guidance; private-sector adoption varies.,auth_control_requirements,False,5,https://pages.nist.gov/800-63-4/sp800-63b.html,reviewed
SPSEC50-020,6,NIST80063B4,SP 800-63B-4 Authentication and Authenticator Management,standards,standards,authentication assurance,OTP relay/social engineering,authentication,US federal guidance,2025,reporting/telemetry,out-of-band not phishing resistant,1,boolean,out-of-band authentication,NIST states out-of-band authentication is not phishing-resistant.,"Standards statement, not telemetry.",auth_control_requirements,False,5,https://pages.nist.gov/800-63-4/sp800-63b.html,reviewed
SPSEC50-021,6,NIST80063B4,SP 800-63B-4 Authentication and Authenticator Management,standards,standards,authentication assurance,OTP relay/social engineering,authentication,US federal guidance,2025,reporting/telemetry,OTP not phishing resistant,1,boolean,single-factor OTP,NIST states OTP authentication is not phishing-resistant.,"Standards statement, not telemetry.",auth_control_requirements,False,5,https://pages.nist.gov/800-63-4/sp800-63b.html,reviewed
SPSEC50-022,6,NIST80063B4,SP 800-63B-4 Authentication and Authenticator Management,standards,standards,authentication assurance,SIM swap/number porting,authentication,US federal guidance,2025,reporting/telemetry,PSTN restricted authenticator,1,boolean,PSTN out-of-band authentication,NIST identifies use of PSTN for out-of-band authentication as restricted.,Standard risk classification.,auth_control_requirements,False,5,https://pages.nist.gov/800-63-4/sp800-63b.html,reviewed
SPSEC50-023,8,FIDO2024Passkeys,Displace Password + OTP Authentication with Passkeys,standards,standards,passkeys,credential phishing,passkeys,global,2024,reporting/telemetry,passkey phishing resistance,1,boolean,passkey authentication,"FIDO says passkeys provide phishing-resistant, replay-resistant sign-ins using cryptographic challenge-response scoped to the relying party domain.",Deployment and recovery design still matter.,auth_control_requirements,False,4,https://fidoalliance.org/white-paper-displace-password-otp-authentication-with-passkeys/,reviewed
SPSEC50-024,7,SSAeCBSV,Electronic Consent Based Social Security Number Verification Service,government,government,authoritative verification,synthetic identity,SSN verification,US,2026,reporting/telemetry,yes/no SSA match result,1,boolean,SSN/name/DOB verification,"SSA eCBSV returns yes/no match responses for SSN, name, and date of birth combinations with consent for permitted entities.","A match verifies a data relationship, not lawful personhood by itself.",authoritative_verification,False,5,https://www.ssa.gov/dataexchange/eCBSV/,reviewed
SPSEC50-025,7,SSAeCBSV,Electronic Consent Based Social Security Number Verification Service,government,government,authoritative verification,identity fraud,SSN verification,US,2026,reporting/telemetry,death indication included,1,boolean,eCBSV result,SSA eCBSV includes an indication of death if present in SSA records.,Availability depends on eligibility and written consent.,authoritative_verification,False,5,https://www.ssa.gov/dataexchange/eCBSV/,reviewed
SPSEC50-026,9,iProov2024Threat,New Threat Intelligence Report Exposes the Impact of Generative AI on Remote Identity Verification,vendor telemetry,vendor,deepfake/injection attacks,face swap/deepfake,remote identity verification,global/customer telemetry,2023,reporting/telemetry,face swap attack growth,704,percent growth,H1 to H2 2023 iProov telemetry,iProov reported a 704% increase in face-swap attacks from H1 to H2 2023.,Vendor telemetry; not global prevalence.,ai_attack_growth_rates,True,4,https://www.iproov.com/press/new-threat-intelligence-report-exposes-impact-generative-ai-remote-identity-verification,reviewed
SPSEC50-027,9,iProov2024Threat,New Threat Intelligence Report Exposes the Impact of Generative AI on Remote Identity Verification,vendor telemetry,vendor,deepfake/injection attacks,emulator/injection,remote identity verification,global/customer telemetry,2023,reporting/telemetry,emulator usage growth,353,percent growth,H1 to H2 2023 iProov telemetry,iProov reported a 353% increase in threat actors using emulators.,Vendor telemetry; attack mix may reflect customer base.,ai_attack_growth_rates,True,4,https://www.iproov.com/press/new-threat-intelligence-report-exposes-impact-generative-ai-remote-identity-verification,reviewed
SPSEC50-028,9,iProov2024Threat,New Threat Intelligence Report Exposes the Impact of Generative AI on Remote Identity Verification,vendor telemetry,vendor,deepfake/injection attacks,digital injection,remote identity verification,global/customer telemetry,2023,reporting/telemetry,mobile web digital injection growth,255,percent growth,H1 to H2 2023 iProov telemetry,iProov reported a 255% increase in digital injection attacks against mobile web platforms.,Vendor telemetry; not a universal census.,ai_attack_growth_rates,True,4,https://www.iproov.com/press/new-threat-intelligence-report-exposes-impact-generative-ai-remote-identity-verification,reviewed
SPSEC50-029,9,iProov2024Threat,New Threat Intelligence Report Exposes the Impact of Generative AI on Remote Identity Verification,vendor telemetry,vendor,deepfake/injection attacks,threat collaboration,remote identity verification,global/open threat groups,2023,reporting/telemetry,information exchange groups created in 2023,47,percent,groups identified by iProov analysts,Almost half of information exchange groups identified by iProov analysts were created in 2023.,Analyst-defined group corpus.,threat_actor_collaboration,True,3,https://www.iproov.com/press/new-threat-intelligence-report-exposes-impact-generative-ai-remote-identity-verification,reviewed
SPSEC50-030,9,iProov2024Threat,New Threat Intelligence Report Exposes the Impact of Generative AI on Remote Identity Verification,vendor telemetry,vendor,deepfake/injection attacks,indiscriminate attacks,remote identity verification,global/customer telemetry,2022-2023,reporting/telemetry,indiscriminate attack level,50000,attacks per month lower bound,monthly iProov observation,"iProov reported indiscriminate attack levels ranging from 50,000 to 100,000 times per month.",Range lower bound captured here.,attack_volume_benchmark,True,3,https://www.iproov.com/press/new-threat-intelligence-report-exposes-impact-generative-ai-remote-identity-verification,reviewed
SPSEC50-031,10,Entrust2025Fraud,Deepfake Attacks Strike Every Five Minutes Amid 244% Surge in Digital Document Forgeries,vendor telemetry,vendor,deepfake/document fraud,digital document forgery,identity verification,global/customer telemetry,2024,reporting/telemetry,digital document forgery growth,244,percent growth,YoY Entrust Onfido telemetry,Entrust reported digital document forgeries increased 244% year-over-year.,Vendor telemetry; not population prevalence.,ai_attack_growth_rates,True,4,https://www.entrust.com/company/newsroom/deepfake-attacks-strike-every-five-minutes,reviewed
SPSEC50-032,10,Entrust2025Fraud,Deepfake Attacks Strike Every Five Minutes Amid 244% Surge in Digital Document Forgeries,vendor telemetry,vendor,deepfake/document fraud,deepfake,identity verification,global/customer telemetry,2024,reporting/telemetry,deepfake attack frequency,5,minutes per attack,Entrust 2024 observation,Entrust reported a deepfake attack happened every five minutes in 2024.,Frequency in vendor-observed environment.,attack_frequency,True,4,https://www.entrust.com/company/newsroom/deepfake-attacks-strike-every-five-minutes,reviewed
SPSEC50-033,10,Entrust2025Fraud,Deepfake Attacks Strike Every Five Minutes Amid 244% Surge in Digital Document Forgeries,vendor telemetry,vendor,deepfake/document fraud,digital document forgery,identity verification,global/customer telemetry,2024,reporting/telemetry,digital forgery share of document fraud,57,percent,document fraud cases,Entrust reported digital forgeries accounted for 57% of all document fraud.,Vendor telemetry; document fraud definition matters.,document_forgery_metrics,True,4,https://www.entrust.com/company/newsroom/deepfake-attacks-strike-every-five-minutes,reviewed
SPSEC50-034,10,Entrust2025Fraud,Deepfake Attacks Strike Every Five Minutes Amid 244% Surge in Digital Document Forgeries,vendor telemetry,vendor,deepfake/document fraud,digital document forgery,identity verification,global/customer telemetry,2021-2024,reporting/telemetry,digital document forgery growth since 2021,1600,percent growth,Entrust telemetry since 2021,"Entrust reported a 1,600% surge in digital document forgery since 2021.",Vendor telemetry.,ai_attack_growth_rates,True,4,https://www.entrust.com/company/newsroom/deepfake-attacks-strike-every-five-minutes,reviewed
SPSEC50-035,10,Entrust2025Fraud,Deepfake Attacks Strike Every Five Minutes Amid 244% Surge in Digital Document Forgeries,vendor telemetry,vendor,deepfake/document fraud,document forgery,identity verification,global/customer telemetry,2024,reporting/telemetry,national ID attack share,40.8,percent,document attacks globally,Entrust highlighted National ID Cards as 40.8% of attacks globally.,Product/customer mix may affect distribution.,document_forgery_metrics,True,3,https://www.entrust.com/company/newsroom/deepfake-attacks-strike-every-five-minutes,reviewed
SPSEC50-036,11,TransUnionH12024,H1 2024 Update: State of Omnichannel Fraud,vendor telemetry,vendor,digital fraud,digital fraud,digital transaction risk,global,2023,reporting/telemetry,suspected digital fraud global transaction rate,5,percent,global digital transactions,TransUnion reported 5% of all global digital transactions were suspected digital fraud in 2023.,Proprietary network telemetry.,digital_fraud_rates,True,4,https://www.transunion.com/report/h1-2024-omnichannel-fraud,reviewed
SPSEC50-037,11,TransUnionH12024,H1 2024 Update: State of Omnichannel Fraud,vendor telemetry,vendor,digital fraud,digital fraud,digital transaction risk,global,2022-2023,reporting/telemetry,suspected digital fraud volume growth,14,percent growth,suspected digital fraud volume,TransUnion reported suspected digital fraud volume increased 14% over 2022.,Proprietary network telemetry.,digital_fraud_rates,True,4,https://www.transunion.com/report/h1-2024-omnichannel-fraud,reviewed
SPSEC50-038,11,TransUnionH12024,H1 2024 Update: State of Omnichannel Fraud,vendor telemetry,vendor,account opening,account opening fraud,digital account opening,global,2023,reporting/telemetry,suspected digital fraud account opening rate,13.5,percent,global digital account openings,TransUnion reported 13.5% of all global digital account openings were suspected digital fraud.,Proprietary telemetry; not comparable to consumer reports.,digital_account_opening_fraud,True,4,https://www.transunion.com/report/h1-2024-omnichannel-fraud,reviewed
SPSEC50-039,11,TransUnionH12024,H1 2024 Update: State of Omnichannel Fraud,vendor telemetry,vendor,synthetic identity,synthetic identity,credit origination,US,2023,reporting/telemetry,suspected synthetic lender exposure,3.1,USD billions,selected U.S. tradelines originated at end of 2023,TransUnion reported $3.1B in lender exposure to suspected synthetic identities for selected U.S. tradelines.,Selected tradelines only.,synthetic_exposure_benchmark,True,4,https://www.transunion.com/report/h1-2024-omnichannel-fraud,reviewed
SPSEC50-040,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,digital fraud,digital fraud,digital transaction risk,global,H1 2024,reporting/telemetry,suspected digital fraud rate H1 2024,5.2,percent,global digital transactions,TransUnion reported a 5.2% global rate of suspected Digital Fraud in H1 2024.,Proprietary network telemetry.,digital_fraud_rates,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-041,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,digital fraud,digital fraud,digital transaction risk,US,H1 2024,reporting/telemetry,US suspected digital fraud rate H1 2024,4.6,percent,U.S. consumer digital transactions,TransUnion reported 4.6% of U.S. consumer digital transactions were suspected fraudulent in H1 2024.,Proprietary network telemetry.,digital_fraud_rates,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-042,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,synthetic identity,synthetic identity,credit origination,US,H1 2024,reporting/telemetry,suspected synthetic lender exposure H1 2024,3.2,USD billions,selected U.S. tradelines,TransUnion reported $3.2B in suspected synthetic identity lender exposure in H1 2024.,Selected U.S. tradelines only.,synthetic_exposure_benchmark,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-043,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,synthetic identity,synthetic identity,credit origination,US,H1 2024,reporting/telemetry,synthetic exposure YoY growth,7,percent growth,H1 2023 to H1 2024 lender exposure,TransUnion reported synthetic exposure grew 7% YoY to $3.2B.,Selected tradelines only.,synthetic_exposure_benchmark,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-044,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,synthetic identity,synthetic identity,account opening,US,H1 2024,reporting/telemetry,new account synthetic share,0.2,percent,newly opened accounts in four tradelines,TransUnion reported 0.20% of newly opened accounts in four tradelines were connected to synthetic identities.,Selected tradelines only.,synthetic_exposure_benchmark,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-045,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,synthetic identity,synthetic identity,account opening,US,H1 2024,reporting/telemetry,bankcard synthetic share,0.33,percent,newly opened bankcard accounts,TransUnion reported bankcard had the highest percentage at 0.33%.,Selected tradelines only.,synthetic_exposure_benchmark,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-046,12,TransUnionH22024,TransUnion Analysis Finds Fraud Costing Businesses Equivalent of Nearly 7% of Revenues,vendor telemetry,vendor,synthetic identity,synthetic identity,digital fraud,global,H2 2023-H1 2024,reporting/telemetry,synthetic identity fraud growth,153,percent growth,H2 2023 to H1 2024 digital fraud type volume,"TransUnion reported synthetic identity fraud was the fastest-growing digital fraud type globally, increasing by 153%.",Proprietary network telemetry.,ai_attack_growth_rates,True,4,https://newsroom.transunion.com/transunion-analysis-finds-fraud-costing-businesses-equivalent-of-nearly-7-of-revenues/,reviewed
SPSEC50-047,13,Equifax2026Synthetic,Equifax Introduces Enhanced Synthetic Identity Fraud Detection,vendor telemetry,vendor,synthetic identity,synthetic identity,credit risk,US,2026,reporting/telemetry,average charge-off per known synthetic,13000,USD per identity,known synthetic identities in Equifax data,"Equifax reported average charged-off loss per known synthetic identity is approximately $13,000.",Known synthetics only; not all suspected cases.,synthetic_loss_benchmark,True,4,https://investor.equifax.com/news-events/press-releases/detail/1387/equifax-introduces-enhanced-synthetic-identity-fraud,reviewed
SPSEC50-048,13,Equifax2026Synthetic,Equifax Introduces Enhanced Synthetic Identity Fraud Detection,vendor telemetry,vendor,synthetic identity,synthetic identity,credit bureau risk scoring,US,2026,reporting/telemetry,AI product flag,1,boolean,Equifax Synthetic Identity Risk product,"Equifax said Synthetic Identity Risk uses AI and machine learning to analyze identity data, credit history, and behavioral signals.",Product disclosure does not reveal model details.,defense_capability,False,3,https://investor.equifax.com/news-events/press-releases/detail/1387/equifax-introduces-enhanced-synthetic-identity-fraud,reviewed
SPSEC50-049,14,LexisNexis2024TCF,Every Dollar Lost to a Fraudster Costs North America's Financial Institutions $4.41 According to LexisNexis True Cost of Fraud Study,vendor telemetry,vendor,financial institution fraud,fraud,cost of fraud,US/Canada,2024,reporting/telemetry,fraud multiplier headline,4.41,cost per fraud dollar,North American financial institutions,LexisNexis reported every $1 of fraud loss costs North American financial institutions $4.41.,Commissioned study; methodology based on surveyed institutions.,cost_multiplier,True,3,https://risk.lexisnexis.com/about-us/press-room/press-release/20240424-tcof-financial-services-lending,reviewed
SPSEC50-050,14,LexisNexis2024TCF,Every Dollar Lost to a Fraudster Costs North America's Financial Institutions $4.41 According to LexisNexis True Cost of Fraud Study,vendor telemetry,vendor,financial institution fraud,fraud,survey,US/Canada,2023-2024,reporting/telemetry,financial firms reporting fraud increase,63,percent,surveyed financial firms,LexisNexis reported 63% of financial firms saw an overall fraud increase of at least 6% in 12 months.,Survey-based.,survey_fraud_increase,True,3,https://risk.lexisnexis.com/about-us/press-room/press-release/20240424-tcof-financial-services-lending,reviewed
SPSEC50-051,14,LexisNexis2024TCF,Every Dollar Lost to a Fraudster Costs North America's Financial Institutions $4.41 According to LexisNexis True Cost of Fraud Study,vendor telemetry,vendor,financial institution fraud,scams,survey,US/Canada,2024,reporting/telemetry,scam share of fraud losses,35,percent,fraud losses in U.S. and Canada,LexisNexis reported scams account for approximately 35% of fraud losses.,Survey-based.,imposter_loss_benchmark,True,3,https://risk.lexisnexis.com/about-us/press-room/press-release/20240424-tcof-financial-services-lending,reviewed
SPSEC50-052,14,LexisNexis2024TCF,Every Dollar Lost to a Fraudster Costs North America's Financial Institutions $4.41 According to LexisNexis True Cost of Fraud Study,vendor telemetry,vendor,financial institution fraud,digital fraud,survey,US/Canada,2024,reporting/telemetry,digital channel share of losses,50,percent,overall fraud losses,LexisNexis reported digital channels accounted for half of overall fraud losses.,Survey-based.,digital_fraud_rates,True,3,https://risk.lexisnexis.com/about-us/press-room/press-release/20240424-tcof-financial-services-lending,reviewed
SPSEC50-053,15,Experian2024Global,Global Identity & Fraud Report 2024,vendor telemetry,vendor,global fraud trends,fraud,survey,global,2023-2024,reporting/telemetry,businesses and fraud leaders surveyed,1000,respondents,businesses and fraud leaders,"Experian reported combined insights from more than 1,000 businesses and fraud leaders.",Survey/research sample.,survey_sample,False,3,https://www.experian.com/blogs/global-insights/wp-content/uploads/2024/11/Global_Fraud_Trends_Report_2024_FinalV.pdf,reviewed
SPSEC50-054,15,Experian2024Global,Global Identity & Fraud Report 2024,vendor telemetry,vendor,global fraud trends,fraud,survey,global,2023-2024,reporting/telemetry,consumers surveyed,4000,respondents,consumers,"Experian reported insights from 4,000 consumers.",Survey/research sample.,survey_sample,False,3,https://www.experian.com/blogs/global-insights/wp-content/uploads/2024/11/Global_Fraud_Trends_Report_2024_FinalV.pdf,reviewed
SPSEC50-055,15,Experian2024Global,Global Identity & Fraud Report 2024,vendor telemetry,vendor,global fraud trends,AI defense,survey,US,2024,reporting/telemetry,US business GenAI confidence,86,percent,US businesses currently using GenAI fraud solutions,Experian reported 86% U.S. confidence in GenAI solutions currently used to detect and protect against fraud.,Survey-based.,defense_capability,True,3,https://www.experian.com/blogs/global-insights/wp-content/uploads/2024/11/Global_Fraud_Trends_Report_2024_FinalV.pdf,reviewed
SPSEC50-056,15,Experian2024Global,Global Identity & Fraud Report 2024,vendor telemetry,vendor,synthetic identity,synthetic identity,survey,EMEA/APAC,2022-2023,reporting/telemetry,EMEA/APAC synthetic attack increase,64,percent,businesses in EMEA and APAC,Experian reported 64% of EMEA/APAC businesses experienced an increase in synthetic identity attacks.,Survey-based; region-specific.,survey_fraud_increase,True,3,https://www.experian.com/blogs/global-insights/wp-content/uploads/2024/11/Global_Fraud_Trends_Report_2024_FinalV.pdf,reviewed
SPSEC50-057,15,Experian2024Global,Global Identity & Fraud Report 2024,vendor telemetry,vendor,synthetic identity,synthetic identity defense,survey,US,2024,reporting/telemetry,US businesses planning synthetic detection investment,56,percent,US businesses,Experian reported 56% of U.S. businesses intend to invest in synthetic identity fraud prevention and detection.,Survey-based.,defense_capability,True,3,https://www.experian.com/blogs/global-insights/wp-content/uploads/2024/11/Global_Fraud_Trends_Report_2024_FinalV.pdf,reviewed
SPSEC50-058,15,Experian2024Global,Global Identity & Fraud Report 2024,vendor telemetry,vendor,global fraud trends,identity theft,survey,US,2024,reporting/telemetry,US consumers identity theft concern,84,percent,US consumers,Experian reported identity theft as a top concern for U.S. consumers at 84%.,Survey-based.,consumer_concern,True,3,https://www.experian.com/blogs/global-insights/wp-content/uploads/2024/11/Global_Fraud_Trends_Report_2024_FinalV.pdf,reviewed
